需求强度,location_x,location_y,,,,,,,,,,,,,,,,,,,,Shape_Length,Shape_Area
7409.505859,114.0743376,30.31013908,,,,,,,,,,,,,,,,,,,,400,10000
2321.508789,114.1057786,30.44808455,,,,,,,,,,,,,,,,,,,,400,10000
6435.275879,114.0833208,30.33417729,,,,,,,,,,,,,,,,,,,,400,10000
6120.074219,114.0572696,30.36053499,,,,,,,,,,,,,,,,,,,,400,10000
7406.622559,114.0393033,30.32409746,,,,,,,,,,,,,,,,,,,,400,10000
4599.119141,114.0366084,30.42717277,,,,,,,,,,,,,,,,,,,,400,10000
6323.295898,114.0842191,30.33727856,,,,,,,,,,,,,,,,,,,,400,10000
628.8973389,114.4534267,30.43336932,,,,,,,,,,,,,,,,,,,,400,10000
4506.703613,114.1174567,30.37758619,,,,,,,,,,,,,,,,,,,,400,10000
240.5213928,114.3249676,30.36053499,,,,,,,,,,,,,,,,,,,,400,10000
6204.448242,114.0590662,30.35588414,,,,,,,,,,,,,,,,,,,,400,10000
363.3132629,114.4435452,30.43414386,,,,,,,,,,,,,,,,,,,,400,10000
3185.515137,114.0734393,30.44421234,,,,,,,,,,,,,,,,,,,,400,10000
446.7291565,114.3312558,30.35743445,,,,,,,,,,,,,,,,,,,,400,10000
277.4407654,114.3249676,30.35743445,,,,,,,,,,,,,,,,,,,,400,10000
1524.70874,114.434562,30.40160783,,,,,,,,,,,,,,,,,,,,400,10000
1541.473633,114.4354604,30.40160783,,,,,,,,,,,,,,,,,,,,400,10000
824.5003662,114.4192907,30.4178772,,,,,,,,,,,,,,,,,,,,400,10000
673.6577148,114.3384423,30.35820959,,,,,,,,,,,,,,,,,,,,400,10000
3594.545898,114.0563713,30.44885897,,,,,,,,,,,,,,,,,,,,400,10000
3539.900635,114.0842191,30.41942652,,,,,,,,,,,,,,,,,,,,400,10000
3943.285645,114.0752359,30.41245438,,,,,,,,,,,,,,,,,,,,400,10000
454.4342651,114.3267642,30.53013927,,,,,,,,,,,,,,,,,,,,400,10000
2357.060303,114.0860157,30.46821758,,,,,,,,,,,,,,,,,,,,400,10000
188.3388672,114.4210873,30.44266341,,,,,,,,,,,,,,,,,,,,400,10000
1936.424805,114.3725783,30.39695894,,,,,,,,,,,,,,,,,,,,400,10000
333.8611145,114.4273755,30.44653568,,,,,,,,,,,,,,,,,,,,400,10000
1871.484619,114.4130025,30.39153496,,,,,,,,,,,,,,,,,,,,400,10000
2210.280029,114.1102702,30.44731012,,,,,,,,,,,,,,,,,,,,400,10000
4004.433594,114.0824224,30.4062565,,,,,,,,,,,,,,,,,,,,400,10000
694.0764771,114.4318671,30.42407434,,,,,,,,,,,,,,,,,,,,400,10000
1690.627197,114.4112058,30.39773377,,,,,,,,,,,,,,,,,,,,400,10000
3774.600098,114.0653545,30.42717277,,,,,,,,,,,,,,,,,,,,400,10000
2585.127686,114.3977311,30.3752612,,,,,,,,,,,,,,,,,,,,400,10000
2476.5625,114.0932022,30.45040781,,,,,,,,,,,,,,,,,,,,400,10000
4732.035645,114.0473881,30.41477848,,,,,,,,,,,,,,,,,,,,400,10000
4192.317383,114.052778,30.42639817,,,,,,,,,,,,,,,,,,,,400,10000
3692.312012,114.0752359,30.42097582,,,,,,,,,,,,,,,,,,,,400,10000
714.0124512,114.4004261,30.43646745,,,,,,,,,,,,,,,,,,,,400,10000
1867.640137,114.4139008,30.39153496,,,,,,,,,,,,,,,,,,,,400,10000
1902.321289,114.3707817,30.40393219,,,,,,,,,,,,,,,,,,,,400,10000
821.5127563,114.3923412,30.45737724,,,,,,,,,,,,,,,,,,,,400,10000
3742.431885,114.0653545,30.42872194,,,,,,,,,,,,,,,,,,,,400,10000
4136.186035,114.0375067,30.44576124,,,,,,,,,,,,,,,,,,,,400,10000
4046.418701,114.0410999,30.44576124,,,,,,,,,,,,,,,,,,,,400,10000
725.203064,114.4300705,30.4225251,,,,,,,,,,,,,,,,,,,,400,10000
4411.589356,114.0375067,30.43259477,,,,,,,,,,,,,,,,,,,,400,10000
4403.621094,114.069846,30.40083303,,,,,,,,,,,,,,,,,,,,400,10000
187.2993317,114.4327654,30.44266341,,,,,,,,,,,,,,,,,,,,400,10000
3803.661133,114.0779309,30.41477848,,,,,,,,,,,,,,,,,,,,400,10000
3101.049561,114.0949989,30.42639817,,,,,,,,,,,,,,,,,,,,400,10000
627.2935181,114.4058159,30.43414386,,,,,,,,,,,,,,,,,,,,400,10000
1923.69458,114.4112058,30.38998519,,,,,,,,,,,,,,,,,,,,400,10000
1939.204224,114.3725783,30.39618411,,,,,,,,,,,,,,,,,,,,400,10000
833.2360229,114.2611872,30.43724196,,,,,,,,,,,,,,,,,,,,400,10000
4201.616211,114.0482865,30.42949652,,,,,,,,,,,,,,,,,,,,400,10000
1845.24292,114.4139008,30.39230983,,,,,,,,,,,,,,,,,,,,400,10000
1409.882446,114.4094092,30.40470697,,,,,,,,,,,,,,,,,,,,400,10000
540.855957,114.3258659,30.41090495,,,,,,,,,,,,,,,,,,,,400,10000
4349.350586,114.0887107,30.39695894,,,,,,,,,,,,,,,,,,,,400,10000
1656.545654,114.3662901,30.38998519,,,,,,,,,,,,,,,,,,,,400,10000
4048.83374,114.0734393,30.41013022,,,,,,,,,,,,,,,,,,,,400,10000
320.853302,114.4210873,30.45660288,,,,,,,,,,,,,,,,,,,,400,10000
1401.098267,114.4076126,30.40548174,,,,,,,,,,,,,,,,,,,,400,10000
1898.709229,114.37168,30.39695894,,,,,,,,,,,,,,,,,,,,400,10000
1696.489868,114.4183924,30.39540926,,,,,,,,,,,,,,,,,,,,400,10000
4077.792236,114.0455915,30.43879098,,,,,,,,,,,,,,,,,,,,400,10000
4118.432129,114.0482865,30.43182022,,,,,,,,,,,,,,,,,,,,400,10000
4231.458984,114.0653545,30.41013022,,,,,,,,,,,,,,,,,,,,400,10000
632.5356445,114.4462401,30.45505415,,,,,,,,,,,,,,,,,,,,400,10000
4145.575195,114.0482865,30.43104566,,,,,,,,,,,,,,,,,,,,400,10000
1576.288452,114.4309688,30.3985086,,,,,,,,,,,,,,,,,,,,400,10000
1903.443359,114.3707817,30.40470697,,,,,,,,,,,,,,,,,,,,400,10000
4427.130859,114.0653545,30.40393219,,,,,,,,,,,,,,,,,,,,400,10000
260.4873657,114.4363587,30.44808455,,,,,,,,,,,,,,,,,,,,400,10000
233.2090149,114.3078996,30.44266341,,,,,,,,,,,,,,,,,,,,400,10000
355.9762878,114.2800518,30.48292755,,,,,,,,,,,,,,,,,,,,400,10000
4390.159668,114.0707443,30.40083303,,,,,,,,,,,,,,,,,,,,400,10000
1501.86792,114.4058159,30.40393219,,,,,,,,,,,,,,,,,,,,400,10000
3875.623291,114.1138635,30.39695894,,,,,,,,,,,,,,,,,,,,400,10000
458.4196777,114.4255789,30.45815159,,,,,,,,,,,,,,,,,,,,400,10000
740.5523071,114.4049176,30.47595995,,,,,,,,,,,,,,,,,,,,400,10000
626.9919434,114.4534267,30.43414386,,,,,,,,,,,,,,,,,,,,400,10000
1758.89978,114.3662901,30.42097582,,,,,,,,,,,,,,,,,,,,400,10000
1372.519531,114.4067143,30.40703126,,,,,,,,,,,,,,,,,,,,400,10000
850.2379761,114.4255789,30.41865187,,,,,,,,,,,,,,,,,,,,400,10000
3144.046143,114.0967955,30.42484896,,,,,,,,,,,,,,,,,,,,400,10000
4431.506348,114.0563713,30.41555317,,,,,,,,,,,,,,,,,,,,400,10000
1674.542725,114.3662901,30.40005823,,,,,,,,,,,,,,,,,,,,400,10000
165.9872284,114.4192907,30.43724196,,,,,,,,,,,,,,,,,,,,400,10000
3484.039795,114.0860157,30.42020118,,,,,,,,,,,,,,,,,,,,400,10000
688.083252,114.4246806,30.42175046,,,,,,,,,,,,,,,,,,,,400,10000
1328.231323,114.3564086,30.47595995,,,,,,,,,,,,,,,,,,,,400,10000
1734.005249,114.3671884,30.41477848,,,,,,,,,,,,,,,,,,,,400,10000
4516.334961,114.0141505,30.45350539,,,,,,,,,,,,,,,,,,,,400,10000
1435.733154,114.3743749,30.44266341,,,,,,,,,,,,,,,,,,,,400,10000
4353.78125,114.0393033,30.43182022,,,,,,,,,,,,,,,,,,,,400,10000
855.5790405,114.4273755,30.41865187,,,,,,,,,,,,,,,,,,,,400,10000
3521.123779,114.0806258,30.42329972,,,,,,,,,,,,,,,,,,,,400,10000
4496.194824,114.0536764,30.41710253,,,,,,,,,,,,,,,,,,,,400,10000
